Comm_ID	Account of relevés	Locations of relevés	Authors	Year of occurances
2133	27	Mecklenburg forest reserves (Germany)	Scamoni	1965
2133	3	Trebel Valley (Germany)	Scheller and  Voigtländer	1993
2133	2	Nature Protected Area  Heiligensee and Hütelmoor (Germany)	Scheller and  Voigtländer	1995
2133	10	Surroundings of the Rostock-Poppendorf fertilizer plant (Germany)	Schmidt	1987
2133	1	Nature Protected Area  Moorheide near Melkof in the Elbetal Nature Park (Germany)	Schmiedel	1996
2133	1	Island of Vilm (Germany)	Schöttelndreier	1995
2133	7	Mecklenburg-Western Pomerania (Germany)	Spangenberg	1999
2133	1	Trebetal northwest of Demmin (Germany)	Voigtländer	1992
2133	2	Warnow catchment area with the Brühler Bach in the Weitendorf area (Germany)	Voigtländer	1993
2133	1	"Nature Protected Area  ""push end moraine north of Remlin (Germany)"	Voigtländer	1996
2133	1	Bäbelin area (Germany)	Voigtländer and  Schmidt	1994
2133	3	"Nature Protected Area  ""Tiefwaren and Falkenhänger Bay (Germany)"	Wiehle	1993
2133	66	Müritz National Park (Germany)	Woidig	1997
2133	2	Oser Central Mecklenburg (Germany)	Wollert	1967
2133	2	Upper Warnow near Schwaan (Germany)	Wollert	1992
2133	2	Recknitz valley north of Laage (Germany)	Wollert	1992
2134	23	North-Mecklenburg (Germany)	Jeschke	1964
2135		Grdelica gorge (Serbia)	Baumgertel et al. 2018	2018
2135		Grdelica gorge (Serbia)	Baumgertel et al. 2018	2018
2135		Štrbačko korito (Serbia)	Kosanin et al. 2025	2023
2135		Štrbačko korito (Serbia)	Kosanin et al. 2025	2023
2136		Ciganski potok (Serbia) 	Kosanin et al. 2025	2023
2136		Ciganski potok (Serbia) 	Kosanin et al. 2025	2023
2137		Lepenski Vir (Serbia)	Kosanin et al. 2025	2023
2137		Lepenski Vir (Serbia)	Kosanin et al. 2025	2023
2138		norteastern and soutern Carpathians (Romania)	Braun-Blanquet et Sissingh 1939 in Borhidi 1971	1939
2138		norteastern and soutern Carpathians (Romania)	Braun-Blanquet et Sissingh 1939 in Borhidi 1971	1939
2138		south-, East- and West-Carpathians (Romania)	Donita et al. 2005	
2138		south-, East- and West-Carpathians (Romania)	Donita et al. 2005	1990-1991
2138		Cerebuc (Cealau Reserve, Romania)	Oana et al. 2012	2012
2138		Ocolaşul Mare, Molidiş limita, sub” La Pălărie” (Cealau Reserve, Romania)	Oana et al. 2012	2012
2138		Curmătura “La Scaune” (Cealau Reserve, Romania)	Oana et al. 2012	2012
2138		Ocolaşul Mare, Molidiş limita, sub” La Pălărie” (Cealau Reserve, Romania)	Oana et al. 2012	2012
2138		Cabana Fântânele (Cealau Reserve, Romania)	Oana et al. 2012	2012
2138		Curmătura Văratec, molidiş limită  (Cealau Reserve, Romania)	Oana et al. 2012	2012
2138		Cabana Fântânele (Cealau Reserve, Romania)	Oana et al. 2012	2012
2138		Curmătura Văratec, molidiş limită  (Cealau Reserve, Romania)	Oana et al. 2012	2012
2138		Curmătura “La Scaune” (Cealau Reserve, Romania)	Oana et al. 2012	2012
2138		Cerebuc (Cealau Reserve, Romania)	Oana et al. 2012	2012
2140	13	Mecklenburg, Brandenburg and Altmark (Germany)	Hofmann	1968
2140	11	Mecklenburg, Brandenburg and Altmark (Germany)	Passarge	1959
2140	1	Mecklenburg, Brandenburg and Altmark (Germany)	Scamoni	1963
2150	1	Trebel, Trebel Canal (Germany)	Bolbrinker	1992
2150	3	Marienfließ National Park (Germany)	Brielmann	1994
2150	4	Darß (Germany)	Fukarek	1961
2150	15	Middle- and South-East-Brandenburg (Germany)	Hofmann	1964
2150	2	Blue water near Eldena (Germany)	Jeschke	1964
2150	10	Middle- and South-east-Brandenburg (Germany)	Kopp, Lorenz	1951
2150	1	Seedorfer hill country (south-east Rügen) (Germany)	Kremp	1993
2150	45	Middle- and South-East-Brandenburg (Germany)	Krieger	1937
2150	2	Elbe valley near Boitzenburg, Dömitz and Rüterberg (Germany)	LAG Veg-kunde M-V	2000
2150	1	Middle- and South-east-Brandenburg (Germany)	Passarge	1968
2150	n.n.	northern and eastern Central Europe (Germany)	Runge	n.n.
2150	1	Thurow (Neustrelitz district) (Germany)	Scamoni	1963
2150	1	Military training area in Lüptheen near Hagenow (Germany)	Schlüter et al.	1993
2150	2	Müritz National Park (Germany)	Voigtländer	1994
2150	2	Fallow fields in the Müritz National Park (Germany)	Voigtländer	1994
2150	8	Müritz National Park (Germany)	Woidig	1997
2150	8	Müritz National Park (Germany)	Woidig	1997
2151	1	Trebel, Trebel Canal (Germany)	Bolbringer	1992
2151	3	Marienfließ nature reserve (Germany)	Brielmann	1994
2151	8	in northern, central and eastern Bohemia (Česko)	Chytry et al. 2013	1975/2013
2151	4	Darß (Germany)	Fukarek	1961
2151	7	Middle- and South-east-Brandenburg (Germany)	Hofmann	1964
2151	2	Blue water near Eldena (Germany)	Jeschke	1964
2151	1	Seedorfer Hügelland (South-East Rügen) (Germany)	Kremp	1993
2151	3	Rostock area (Germany)	Kudoke	1963
2151	2	Elbe valley near Boitzenburg, Dömitz and Rüterberg (Germany)	LAG Vegetationskunde MV	2000
2151	14	Middle- and South-east-Brandenburg (Germany)	Passarge	1957
2151	1	Thurow (Neustrelitz district) (Germany)	Scamoni	1963
2151	1	Military training area in Lüptheen near Hagenow (Germany)	Schlüter et al.	1993
2152	14	Brandenburg (Germany)	Hofmann	1964
2152	5	Brandenburg (Germany)	Passarge	1964
2153	11	mainly in northern Bohemia (Česko)	Chytry et al. 2013	1975/2013
2153	8	NE Brandenburg (Germany)	Hofmann	1960
2154	4	NE Brandenburg (Germany)	Krausch	1962
2155	41	Pulawi (Middle- Eastern Poland)	Matuszkiewicz	1956
2155	52	Brandenburg central Poland, Mazovian Polesie, Southern Polish Highlands	Matuszkiewicz J.M. (1993)	1988
2156	3	North-Mecklenburg, Baltic coast (Germany)	Fukarek	1961
2156	5	Brandenburg (Germany)	Hueck	1931
2156	1	North-Mecklenburg, Baltic coast (Germany)	Libbert	1940
2156	12	Brandenburg (Germany)	Passarge	1956
2160	271	Bohemian Massif (Česko)	Chytry et al. 2013	1975/2013
2160	12	Middle- and East-Brandenburg (Germany)	Hofmann	1964
2160	36	Upper Rhine Plain (Germany)	Knapp	1946
2160	20	Mark Brandenburg (Germany)	Knapp	1962
2160	12	Beeskow-Fürstenwalde (Germany)	Kopp	1956
2160	31	Gwda Valley (Pomerania, Poland)	Kuczynska	1962
2160	10	Reservoir landscape north of the nets (Germany)	Libbert	1933
2160	48	Preising (Germany)	Ostmark	1962
2160	16	NW Fleming (Germany)	Passarge	1956
2160	10	Upper Prussian Forest (Germany)	Passarge	1956
2160	13	Middle- and East-Brandenburg (Germany)	Passarge	1964
2160	16	Upper Palatinate (Germany)	Preising	1950
2160	9	Mark Brandenburg (Germany)	Preising	1962
2160	5	Usedom (Germany)	Raabe	1944
2160	14	Lusatia (Germany)	Reinhold	1962
2160	16	Eberswalde (Germany)	Scamoni	1956
2160	26	Muskau Heath, Upper Lusatian Heath and Pond Area, Königsbrück Heath, Daubitz Dunes (Germany)	Schmidt	n.n.
2160	3	Podlachia (Eastern Poland)	Solokowski	1962
2160	3	Sopron, Kőszeg, Őrség (Hungary)	Soó 1964	1964
2160	14	Lower Silesian Heaths (Poland	Traczyk	1962
2160	6	Poznan region (Poland)	Wojterscy	1953
2170	2	South-East-Brandenburg (Germany)	Kopp, Lorenz	1952
2170	3	South-East-Brandenburg (Germany)	Passarge	1964
2180	8	some sites at low to mid-altitudes of the Bohemian Massif (Czech Republic)	Chytry et al. 2011	1975/2011
2180	19	Brandenburg (Germany)	Hueck	1925
2180	6	Brandenburg (Germany)	Passarge	1964
2180	3	Brandenburg (Germany)	Sukopp	1959
2190	2	Brandenburg, Mecklenburg (Germany)	Fischer	1960
2190	6	Brandenburg, Mecklenburg (Germany)	Grosser	1963
2190	6	Brandenburg, Mecklenburg (Germany)	Hofmann	1965
2190	11	Brandenburg, Mecklenburg (Germany)	Hueck	1925
2190	1	Brandenburg, Mecklenburg (Germany)	Kudoke	1961
2190	17	Brandenburg, Mecklenburg (Germany)	Passarge	1959
2190	18	Ore Mountains, Vogtland, TÜP Muskauer Heide, Nature Protected Area  Dubringer Moor, Nature Protected Area  Fürstenauer Heide, FND Moosheide near Schneeberg (Germany)	Schmidt	n.n.
2190	4	Brandenburg, Mecklenburg (Germany)	Sukopp	1959
2191	1	North-east Brandenburg (Germany)	Hofmann	1965
2191	16	Growth districts: 1 Northern Hochösling, 5 Ösling Foreland, 11 Schooffielser and Müllerthaler Gutland, 13 Rebierger Gutland and 14 Pafebierger and Oetringer Gutland (Luxembourg)	Niemeyer et al. 2010	2010
2191	16	North-east Brandenburg (Germany)	Passarge	1967
2191	1	North-east Brandenburg (Germany)	Scamoni	1956
2192	24	mainly in the Doksy region of northern Bohemia, rarly in other areas of the Bohemian Massif. (Česko)	Chytry et al. 2013	1975/2013
2192		Woblitz (North Brandenburg, Germany)	Hofmann et Pommer 2013 	2013
2192		Romania: Biosphere Reserve of Danube Delta, in Erenciuc lake edges; Osoi lake	Oprea et Sirbu 2009	1997-1999
2192	56	Britain, northern Germany, Poland and Czech Republic. In the Netherland in the Low Peat District, in the Hollands-Utrechtse lake district and in north-west Overijssel. In North Brabant, central Limburg and along the Overijsselse Vecht	Schaminée et al. 2022	
2192	6	Középhegység: Pilis „Ókútvölgy”, Balatonvidék: Hévíz, Dunantul: Türje, Kisalföld: Hanság, Szigetköz, Morvamezön (Hungary)	Soó 1964	
2193	25	Bohemian Massif (Česko)	Chytry et al. 2013	1975/2013
2193		Romania: In the south and east, rare in marshes in meadows (Jiu, Câlniștea, etc.)	Donita et al. 2005	1963-1990
2193	8	Középhegység: Tornai Karszt,  Bükk, Mátra, Bakonyalja: Sárosfő, Dunántúl: Uzsa, Vashosszúfalu, Somogy, Sopron  (Hungary)	Soó 1964	
2201	2	Brandenburg, Mecklenburg (Germany)	Grosser	1963
2201	5	Brandenburg, Mecklenburg (Germany)	Hueck	1925
2201	12	Midlands of Switzerland	Klötzli 	1967
2201	5	Brandenburg, Mecklenburg (Germany)	Passarge	1968
2201	5	Brandenburg, Mecklenburg (Germany)	Poltz	1956
2201	1	Brandenburg, Mecklenburg (Germany)	Raabe	1944
2201	18	Ore Mountains, Vogtland, TÜP Muskauer Heide, Nature Protected Area  Dubringer Moor, Nature Protected Area  Fürstenauer Heide, FND Moosheide near Schneeberg (Germany)	Schmidt	n.n.
2202	n.n.	 (Germany)	Brandt	1993
2202	7	Mire areas in the district of Neustrelitz (Germany)	Doll	1978
2202	2	Neuendorfer Moor (Germany)	Doll and  Richter	1993
2202	2	NE-Brandenburg, East-Mecklenburg (Germany)	Grosser	1963
2202	4	Young moraine landscape Nordwerstmecklenburg (Germany)	Henker	1972
2202	7	NE-Brandenburg, East-Mecklenburg (Germany)	Hofmann	1965
2202	2	Brandenburg (Germany)	Hueck	1925
2202	3	Ground moraine northeast Mecklenburg (Germany)	Hurttig	1963
2202	1	Forest reserve Anklamer Stadtbruch (Germany)	Hurttig and  Schulze	1963
2202	7	Nature Protected Area  Mümmelken- Moor on Usedom (Germany)	Jeschke	1961
2202	6	Nature Protected Area  Peetscher Moor near Bützow (Germany)	Kudoke	1961
2202	3	Young moraine landscape around Dragun (Germany)	Passarge	1959
2202	1	NE-Brandenburg, East-Mecklenburg (Germany)	Passarge	1968
2202	5	Brandenburg (Germany)	Passarge	1968
2202	1	East Rügen Bodden Landscape (Germany)	Paulson and  Raskin	1998
2202	18	Müritz National Park (Serrahn part) (Germany)	Paulson and  Tautz	1995
2202	9	Great Göldenitz Moor and Devil's Moor near Horst (Germany)	Precker	1993
2202	8	Devil's moor near Horst (district of Rostock) (Germany)	Precker and  Knapp	1990
2202	n.n	Central islands and pond belts, depressions, seeps in Departments Cher,  l'Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
2202	n.n	at Theillay (Departement Loir-et-Cher, France) in Sologne	Pujol et al. 2023	n.n.
2202	1	Plau city forest (Germany)	Rowinsky and  Neumann	1996
2202	1	Surroundings of the Rostock-Poppendorf fertilizer plant (Germany)	Schmidt	1987
2202	18	Ore Mountains, Vogtland, TÜP Muskauer Heide, Nature Protected Area  Dubringer Moor, Nature Protected Area  Fürstenauer Heide, FND Moosheide near Schneeberg (Germany)	Schmidt	n.n.
2202	1	Schwarze- See- Bruch near Goldenbaum (district Neustrelitz) (Germany)	Stegemann and  Doll	1975
2202	3	Zieseniederung (East Mecklenburg) (Germany)	Succow	1967
2202	1	River valley bogs North- Mecklenburg (Germany)	Succow	1970
2202	3	Darzer Moor, Zerninsee Moor, Thurbruch (Germany)	Voigtländer	1993
2202	7	Nature Protected Area  Zerninseesenke (Germany)	Voigtländer	1995
2202	2	Rogeetz area (Germany)	Wollert	1994
2202	1	Bogs in the Lobusnath area between the Krakow and Malchin end moraine arc in the Carlsdorf-Nienhagen area (Germany)	Wollert	1996
2203	1	Mirower peat bog (Germany)	Berg and  Thiess	1993
2203	2	Lakes in Mecklenburg- Western Pomerania (Germany)	Blümel and  Tepke	1996
2203	1	Greifswald University Forest (Germany)	Bochnig 	1957
2203	1	"Nature Protected Area  ""Binsenbrink- Sauerwerder (Germany)"	Bolbrinker	1997
2203	11	 (Germany)	Brandt	1993
2203	30	common on water -logged sites throughout the Czech Republic	Chytry et al. 2013	1975/2013
2203	6	River valley moor of the Recknitz (Germany)	Clausnitzer	1998
2203	1	Upper Mildenitz (Germany)	Degen et al.	1997
2203	15	Nature Protected Area  Peenewiesen near Gützkow (Germany)	Fischer	1995
2203	2	Darß (Germany)	Fukarek	1961
2203	7	Baar (Germany)	Görs and  Th. Müller	n.n.
2203	3	North-west Mecklenburg young moraine landscape (Germany)	Henker	1972
2203	1	Economic grassland in the Nebeltal (Germany)	Holst	1968
2203	6	Nature Protected Area  Jasmund on the island of Rügen (Germany)	Jeschke	1964
2203	4	raised bogs and fens in the Moor area (Grevesmühlen district) (Germany)	Klemm	1977
2203	1	Friedland Great Meadow (Germany)	Kloss	1963
2203	3	Peat bogs in the Great Friedland Meadow (Germany)	Knapp	1997
2203	4	Peetscher Moor Nature Protected Area  near Bützow (Germany)	Kudoke	1961
2203	1	Kieshofer Moor (Germany)	Lange	1994
2203	3	East Rügen Bodden Landscape (Germany)	Mordhorst et al.	1997
2203	2	Moor lowlands near Serrahn (Germany)	Paulson and  Raskin	1998
2203	4	Devil's moor near Horst (district Rostock) (Germany)	Paulson and  Tautz	1995
2203	1	Fens in the Great Friedland Meadow (Germany)	Precker and  Knapp	1990
2203	1	Thurow (Neustrelitz district) (Germany)	Roth	1995
2203	7	 (Germany)	Scamoni	1963
2203	15	Peen lowlands north of Anklam (Germany)	Schumann et al.	1996
2203	4	River valley fens of northern Mecklenburg (Germany)	Slobodda	1983
2203	1	Mecklenburg valley fens (Germany)	Succow	1970
2203	1	Darzer Moor, Zerninsee Moor, Thurbruch (Germany)	Succow	1970
2203	2	"Nature Protected Area  ""Santower lake (Germany)"	Voigtländer	1993
2203	2	Nature Protected Area  Zahren- lake (Germany)	Voigtländer	1996
2203	2	Havelland, Prignitz, Lewitz, Altmark (Germany)	Weber	1985
2203	2	"Nature Protected Area  ""Tiefwaren and Falkenhänger Bay (Germany)"	Wiehle	1993
2203	2	"Nature Protected Area  ""Teterow Heath Mountains (Germany)"	Wollert	1993
2203	3	Rogeetz area (Germany)	Wollert	1994
2210		Romania:  on old foothills and terraces (Baraolt, Gurghiu, Bistrița, Tismana, the western foothills,  the Getic foothills (eastern part)	Donita et al. 2005	1959-1990
2210		Romania: on old foothills and terraces (Baraolt, Gurghiu, Bistrița, Tismana, the western foothills,  the Getic foothills (eastern part),	Donita et al. 2005	1959-1990
2210	3	Altmark, Southwest Mecklenburg, Brandenburg (Germany)	Fischer	1960
2210	1	Altmark, West-Havelland, Prignitz, Southwest-Mecklenburg (Germany)	Fischer	1960
2210	1	Altmark, West-Havelland, Prignitz, Southwest-Mecklenburg (Germany)	Fukarek	1961
2210		Atlantic domain and in the Condroz and Ardenne (Belgium)	Jaquemart et Deschamps 2025	2025
2210	20	Havelland, Prignitz, Lewitz, Altmark (Germany)	Passarge	1957
2210	13	Havelland, Prignitz, Lewitz, Altmark (Germany)	Passarge	1961
2210	5	Muskauer Heide, Riesa-Torgauer-Elbtal, Dahlen-Dübener Heide, Elsterwerda-Herzberger Elsterniederung, Oberlausitzer Heide- und Teichgebiet, Nature Protected Area  Litzenteich, Raschützer Forst, Bergen (Vogtland) (Germany)	Poltz	1956
2210	2	Altmark, West-Havelland, Prignitz, Southwest-Mecklenburg (Germany)	Poltz	1956
2210	9	alluvial plains and marsh margins. Found in the Forêt d'Orléans and Sologne, Puisaye and Pays-Fort, Marche, Boischaud Sud and Vallée de Germigny, Perche and Brenne (France)	Pujol et al. 2023	n.n.
2210	n.n	at Ménestreau‐en‐Villette (Departement Loiret, France) in Sologne.	Pujol et al. 2023	n.n.
2210	10	NW German lowlands (old moraines) (on moist nutrient-poor very acid diluvial soils with high groundwater levels) (Germany)	Schmidt	n.n.
2210	20	Altmark, West-Havelland, Prignitz, Southwest-Mecklenburg (Germany)	Tüxen	1937
2211	38	Altmark, Southwest Mecklenburg, Brandenburg (Germany)	Passarge	1962
2212	450	Growth districts: 10 Eisch-Mamer-Gutland, 11 Schooffielser and Müllerthaler Gutland, 12 Southern Gutland, 14 Pafebierger and Oetringer Gutland (Luxembourg)	Niemeyer et al. 2010	2010
2212	19	Altmark, Southwest Mecklenburg, Brandenburg (Germany)	Passarge	1962
2213		about Torc waterfall, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2213		Queens Cottage in Derrycunihy wood at Upper Lake Killarney, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2213		Glencar Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2213		Lough Conn, Co. Mayo (Ireland)	Braun-Blanquet et Tüxen	1951
2213	2	Lough Gill near Sligo (Ireland)	Braun-Blanquet et Tüxen	1951
2213		Pontoon, Co. Mayo (Ireland)	Braun-Blanquet et Tüxen	1951
2213		Glenstal-Abbey Co. Limerick (Ireland)	Braun-Blanquet et Tüxen	1951
2214	2	about Torc waterfall, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2214		Upper Lake Killarney, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2214		Ross Island, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2214	3	Queens Cottage in Derrycunihy wood at Upper Lake Killarney, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2214		Lough Conn, Co. Mayo (Ireland)	Braun-Blanquet et Tüxen	1951
2214	3	at the bridge over Caragh river near Lough Caragh, Co. Kerry	Braun-Blanquet et Tüxen	1951
2215		near bridge to Ross Island, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2215		Pontoon, Co. Mayo (Ireland)	Braun-Blanquet et Tüxen	1951
2215		Killarney, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2215		Lower Lake near Killarney, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2215		River Lee near Macroom, C. Cork (Ireland)	Braun-Blanquet et Tüxen	1951
2216		slope near Carrowkeel, C. Sligo (Ireland)	Braun-Blanquet et Tüxen	1951
2216		calcaric hill near Lough Gill near Sligo (Ireland)	Braun-Blanquet et Tüxen	1951
2216		Quercus robur wood at River Lee near Macroom, C. Cork (Ireland)	Braun-Blanquet et Tüxen	1951
2216	5	native wood near Strandhill, Co. Sligo (Ireland)	Braun-Blanquet et Tüxen	1951
2216		Tullamore, C. Offaly (Ireland)	Braun-Blanquet et Tüxen	1951
2216		Arbutus wood on Ross Island near Killarney, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2216		Park on Ross Island near Killarney, Co. Kerry (Ireland)	Braun-Blanquet et Tüxen	1951
2216		Park at Glenstal-Abbey Co. Limerick (Ireland)	Braun-Blanquet et Tüxen	1951
2217	5	above Covadonga (Spain)	Tüxen et Oberdorfer 1958	1953
2217		above Cangas de Onis (Spain)	Tüxen et Oberdorfer 1958	1953
2217		Lieres de Sierro east of Oviedo (Spain)	Tüxen et Oberdorfer 1958	1953
2230	5	Darß (Germany)	Fukarek	1961
2230	2	Nature Protected Area  Anklamer city quarry (Germany)	Grünbauer and  Cheung	1994
2230	7	Ground moraine northeast Mecklenburg (Germany)	Hurttig	1963
2230	2	Darß (Germany)	Libbert	1940
2230	4	Mecklenburg and Brandenburg (Germany)	Passarge	1957
2230	6	Mecklenburg and Brandenburg (Germany)	Poltz	1956
2230	1	Mecklenburg and Brandenburg (Germany)	Scamoni	1956
2230	3	Thurow Mesostic Plain (Neustrelitz District) (Germany)	Scamoni	1963
2230	1	Mecklenburg forest reserves (Germany)	Scamoni	1965
2230	1	Nature Protected Area  Heiligensee and Hütelmoor (Germany)	Scheller and  Voigtländer	1995
2230	2	Mecklenburg- Western Pomerania (Germany)	Spangenberg	1999
2241	19	Elbe valley (Germany)	Passarge	1962
2241	1	Valley slopes of Lower Weißer Elster, locally around Eilenburg and on the Spree, Riesa-Torgau-Elbtal, Leipziger Land, Alte Elbe Kathewitz (Germany)	Schmidt	n.n.
2242	22	Oder valley, East Brandenburg (Germany)	Hofmann	1960
2242	1	Oder valley, eastern Brandenburg (Germany)	Passarge	1968
2243	14	Elbe Valley (Germany)	Passarge	1962
2243	1	Valley slopes of Unterer Weißer Elster, locally around Eilenburg and at the Spree, Riesa-Torgau-Elbtal, Leipziger Land, Alte Elbe Kathewitz (Germany)	Schmidt	n.n.
2244	22	Oder valley, East Brandenburg (Germany)	Hofmann	1960
2244	1	Oder valley, eastern Brandenburg (Germany)	Passarge	1968
2244	1	Valley slopes of Unterer Weißer Elster, locally around Eilenburg and at the Spree, Riesa-Torgau-Elbtal, Leipziger Land, Alte Elbe Kathewitz (Germany)	Schmidt	n.n.
2245	6	North-east Brandenburg (Germany)	Hofmann	1965
2245	15	Kyiv, Cherkassy, Kirovograd and Poltava (Kremenchug District) Region (Ukraine)	Lyubchenko et al. (1997: 30, tab. 1, rels. 1–15)	1997
2245	57	Grave field (Germany)	Meusel	1935
2245	16	East-Havelland (Germany)	Passarge	1957
2246	3	Southwest Fläming (Germany)	Bochert	1958
2246	6	Central German Dryland (Germany)	Passarge	1953
2246	10	Magdeburgerforth (Germany)	Passarge	1956
2246	9	Havelland (Germany)	Passarge	1957
2246	3	West-Havelland (Stechow, Lindholz (Germany)	Pommer	2005
2246	1	Spreewald (Germany)	Pommer	2005
2246	3	Havelland (Krämer, Kreuzbruch) (Germany)	Pommer	2005
2246	2	Nordhavelland (Vogelsang, Tornow) (Germany)	Pommer	2005
2246	1	Elbe-Elster lowland (Bahnsdorf) (Germany)	Pommer	2005
2246	7	Lower Spreewald (Germany)	Scamoni	1954
2250	2	Havelland, Altmark, Spreewald, Oder Valley (Germany)	Hofmann	1965
2250	30	Havelland, Altmark, Spreewald, Oder Valley (Germany)	Passarge	1956
2260	1	East-Mecklenburg, East-Brandenburg (Germany)	Hofmann	1965
2260	4	West-Mecklenburg (Germany)	Passarge	1960
2260	2	East-Mecklenburg, East-Brandenburg (Germany)	Passarge	1968
2261	4	East-Brandenburg (Germany)	Hofmann, Passarge	1962
2270	8	East-Brandenburg (Germany)	Hofmann, Passarge	1962
2270	10	Basalt domes in the Upper Lusatian Mountains and Saxon Switzerland, Mulde loess hill country on limestone, Löbauer Berg, Schönbrunner Berg Nature Protected Area , FND Kaltofen near Hainichen (Germany)	Schmidt	n.n.
2271	10	East Brandenburg (Germany)	Hofmann, Passarge	1962
2273	14	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Baur and  Müller	1972
2273	49	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Buck-Feucht	1962
2273	31	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Gaisberg and  Koch	1939
2273	2	Neckar-Main area, Swabian and Franconian Alb, Franconian Forest, Fichtelgebirge, southern Alpine foothills, Lake Constance area (Germany)	Görs	1968
2273	7	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Hauff	1937
2273	27	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Hofmann	1966
2273	5	East Brandenburg (Germany)	Hofmann, Passarge	1962
2273	73	North- Mecklenburg, chalk cliffs on the island of Rügen (Germany)	Jeschke	1964
2273	24	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Kuhn	1937
2273	124	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Künne	1969
2273	12	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Lang	1973
2273	155	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Petermann	1970
2273	16	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Roser	1962
2273	8	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Schlenker	1940
2273	65	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Sebald	1966
2273	326	Neckar-Main area, Swabian and Franconian Alb, Franconian Forest, Fichtelgebirge, southern Alpine foothills, Lake Constance area (Germany)	Th. Müller	n.n.
2273	42	low mountain range south of Hannover, Osnabrück hills, Harz foothills (Germany)	Tüxen	1937
2273	60	Neckar-Main region, Swabian and Franconian Alb, Franconian Forest, Fichtel Mountains, southern Alpine foothills, Lake Constance region (Germany)	Wilmanns	1956
2274	17	Silicate soils of the Harz Mountains, southern Hanoverian and central German basalt mountains, Rhön Mountains, 300-500 m a.s.l. (Germany)	Tüxen	1937
2280	14	East Brandenburg (Germany)	Hofmann, Passarge	1962
2289	n.n.	Paris Basin, Megaregions Centre East, South-West and West of France	Julve 	2024
2290	3	Neckar region, Swabian-Franconian Forest, east and southeast of Swabian Alb (Germany)	Aichele and  Schwegler	1960
2290	7	Neckar area, Swabian-Franconian Forest, eastern and southeastern Swabian Alb (Germany)	Baur and  Müller	1972
2290	3	Neckar region, eastern Odenwald and its fringes (Germany)	Beck	1951
2290	52	Bohemian Massif (Česko) 	Chytry et al. 2013	1975/2013
2290	22	western foothills of the Alps, Lake Constance and High Rhine area (Germany)	Etter	1943
2290	16	Hessian and Leinebergland (Germany)	F. K. Hartmann	1942
2290	20	Left Rhenish slate mountains (Germany)	F. K. Hartmann	1959
2290	15	Neckar area, Swabian-Franconian Forest, east and southeast Swabian Alb (Germany)	Görs	1960
2290	6	western foothills of the Alps, Lake Constance and High Rhine area (Germany)	Hauff	1964
2290		Nuthe valley near Zerbst (Germany)	Hofmann et Pommer 2013 	2013
2290	22	Upper Rhine plain, southern Upper Rhine hill country, with Kaiserstuhl, northern Upper Rhine hill country (Germany)	Hügin	1956
2290	16	Upper Rhine plain, southern Upper Rhine hill country, with Kaiserstuhl, northern Upper Rhine hill country (Germany)	Hügin	1956
2290	1	western foothills of the Alps, Lake Constance and High Rhine area (Germany)	Hügin	1956
